filename,true_category,qwen_pred,qwen_correct,clip_pred_category,clip_top1_correct,clip_top3_correct,clip_top1_score
data/images/gate/gate_b12_v1.png,gate,gate,True,gate,True,True,0.33701440691947937
data/images/gate/gate_b12_v2_angle.png,gate,gate,True,gate,True,True,0.3206183612346649
data/images/gate/gate_b12_v3_dark.png,gate,gate,True,gate,True,True,0.2915123403072357
data/images/gate/gate_b12_v4_blur.png,gate,gate,True,gate,True,True,0.3354913294315338
data/images/gate/gate_a05_v1.png,gate,gate,True,gate,True,True,0.2913965880870819
data/images/gate/gate_a05_v2_angle.png,gate,gate,True,gate,True,True,0.2618812024593353
data/images/gate/gate_a05_v3_dark.png,gate,gate,True,gate,True,True,0.270444393157959
data/images/gate/gate_a05_v4_blur.png,gate,gate,True,gate,True,True,0.28622934222221375
data/images/gate/gate_c22_v1.png,gate,gate,True,gate,True,True,0.32238641381263733
data/images/gate/gate_c22_v2_angle.png,gate,gate,True,gate,True,True,0.28009819984436035
data/images/gate/gate_c22_v3_dark.png,gate,gate,True,gate,True,True,0.2768417000770569
data/images/gate/gate_c22_v4_blur.png,gate,gate,True,gate,True,True,0.3078276216983795
data/images/check_in/checkin_t1_intl_v1.png,check_in,check_in,True,gate,False,False,0.25093942880630493
data/images/check_in/checkin_t1_intl_v2_angle.png,check_in,check_in,True,gate,False,False,0.2704596221446991
data/images/check_in/checkin_t1_intl_v3_dark.png,check_in,check_in,True,currency_exchange,False,True,0.2220984250307083
data/images/check_in/checkin_t1_intl_v4_blur.png,check_in,check_in,True,gate,False,False,0.24977640807628632
data/images/check_in/checkin_t1_domestic_v1.png,check_in,check_in,True,check_in,True,True,0.25513607263565063
data/images/check_in/checkin_t1_domestic_v2_angle.png,check_in,check_in,True,check_in,True,True,0.2753262221813202
data/images/check_in/checkin_t1_domestic_v3_dark.png,check_in,check_in,True,check_in,True,True,0.23144736886024475
data/images/check_in/checkin_t1_domestic_v4_blur.png,check_in,check_in,True,check_in,True,True,0.25054073333740234
data/images/baggage_claim/baggage_claim_t1_v1.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.3024131655693054
data/images/baggage_claim/baggage_claim_t1_v2_angle.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.3179871439933777
data/images/baggage_claim/baggage_claim_t1_v3_dark.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.2829243540763855
data/images/baggage_claim/baggage_claim_t1_v4_blur.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.3083078861236572
data/images/baggage_claim/baggage_claim_t2_v1.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.3078872859477997
data/images/baggage_claim/baggage_claim_t2_v2_angle.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.3156959116458893
data/images/baggage_claim/baggage_claim_t2_v3_dark.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.2795562148094177
data/images/baggage_claim/baggage_claim_t2_v4_blur.png,baggage_claim,baggage_claim,True,baggage_claim,True,True,0.30145442485809326
data/images/security/security_t1_v1.png,security,security,True,security,True,True,0.27622106671333313
data/images/security/security_t1_v2_angle.png,security,security,True,security,True,True,0.2791344225406647
data/images/security/security_t1_v3_dark.png,security,security,True,security,True,True,0.2382000982761383
data/images/security/security_t1_v4_blur.png,security,security,True,security,True,True,0.29070204496383667
